OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
1,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19001,CARLOW,Ceatharlach,,,275285,174021,675219,674061,,,Fiontar,,
2,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19002,FORTH,Fotharta,,,283588,165094,683520,665135,,,Fiontar,,
3,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19003,IDRONE EAST,Uí Dhróna Thoir,,,272804,157527,672739,657570,,,Fiontar,,
4,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19004,IDRONE WEST,Uí Dhróna Thiar,,,263886,166190,663823,666231,,,Fiontar,,
5,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19005,RATHVILLY,,,,288272,179733,688203,679771,,,,,
6,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19006,St. MULLIN'S LOWER,Tigh Moling Íochtarach,,,274182,143254,674116,643300,,,Fiontar,,
7,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19007,St. MULLIN'S UPPER,Tigh Moling Uachtarach,,,289834,162714,689765,662756,,,Fiontar,,
8,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19008,SLIEVEMARGY,Sliabh Mairge,,,271326,176822,671261,676861,,,Fiontar,,
9,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29001,CASTLERAHAN,Caisleán Raithin,,,257144,288192,657083,788207,,,Fiontar,,
10,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29002,CLANKEE,Clann Chaoich,,,265484,300260,665421,800272,,,Fiontar,,
11,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29003,CLANMAHON,Clann Mhathúna,,,235902,291298,635845,791312,,,Fiontar,,
12,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29004,LOUGHTEE LOWER,Lucht Tí Íochtarach,,,231485,316501,631429,816510,,,Fiontar,,
13,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29005,TULLYGARVEY,Teallach Ghairbhíth,,,251899,310904,651839,810914,,,Fiontar,,
14,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29006,TULLYHAW,Teallach Eathach,,,210517,323109,610466,823117,,,Fiontar,,
15,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29007,LOUGHTEE UPPER,Lucht Tí Uachtarach,,,239008,303980,638951,803992,,,Fiontar,,
16,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29008,TULLYHUNCO,Teallach Dhúnchadha,,,228229,301642,628174,801654,,,Fiontar,,
17,CLARE,An Clár,CLARE,,By,Bar,N,,39001,BUNRATTY LOWER,Bun Raite Íochtarach,,,141959,164269,541922,664311,,,Fiontar,,
18,CLARE,An Clár,CLARE,,By,Bar,N,,39002,BUNRATTY UPPER,Bun Raite Uachtarach,,,140963,186782,540926,686819,,,Fiontar,,
19,CLARE,An Clár,CLARE,,By,Bar,N,,39003,BURREN,Boirinn,,,119302,206114,519270,706147,,,Fiontar,,
20,CLARE,An Clár,CLARE,,By,Bar,N,,39004,CLONDERALAW,Cluain idir Dhá Lá,,,121441,158352,521409,658396,,,Fiontar,,
21,CLARE,An Clár,CLARE,,By,Bar,N,,39005,CORCOMROE,Corca Mrua,,,116153,190382,516122,690419,,,Fiontar,,
22,CLARE,An Clár,CLARE,,By,Bar,N,,39006,IBRICKAN,Uí Bhreacáin,,,107841,177608,507812,677648,,,Fiontar,,
23,CLARE,An Clár,CLARE,,By,Bar,N,,39007,INCHIQUIN,Inse Uí Chuinn,,,134214,193040,534179,693076,,,Fiontar,,
24,CLARE,An Clár,CLARE,,By,Bar,N,,39008,ISLANDS,Na hOileáin,,,126943,175032,526909,675072,,,Fiontar,,
25,CLARE,An Clár,CLARE,,By,Bar,N,,39009,MOYARTA,Maigh Fhearta,,,93730,155642,493704,655686,,,Fiontar,,
26,CLARE,An Clár,CLARE,,By,Bar,N,,39010,TULLA LOWER,An Tulach Íochtarach,,,162286,171277,562245,671318,,,Fiontar,,
27,CLARE,An Clár,CLARE,,By,Bar,N,,39011,TULLA UPPER,An Tulach Uachtarach,,,157885,192395,557845,692431,,,Fiontar,,
28,CLARE,An Clár,CLARE,,By,Bar,N,,39012,LEITRIM,Liatroim,,,174438,188543,574394,688580,,,Fiontar,,
29,CORK,Corcaigh,CORK,,By,Bar,N,,49001,BANTRY,Beanntraí,,,106334,56210,506304,556276,,,Fiontar,,
30,CORK,Corcaigh,CORK,,By,Bar,N,,49002,BARRETTS,Baróidigh,,,157213,87610,557173,587669,,,Fiontar,,
31,CORK,Corcaigh,CORK,,By,Bar,N,,49003,BARRYMORE,Barraigh Mhóra,,,178090,80949,578045,581009,,,Fiontar,,
32,CORK,Corcaigh,CORK,,By,Bar,N,,49004,BEAR,Béarra,,,67606,48495,467585,548562,,,Fiontar,,
33,CORK,Corcaigh,CORK,,By,Bar,N,,49005,CARBERY EAST (East Division),Cairbrigh Thoir (an Roinn Thoir),,,143214,47745,543176,547813,,,Fiontar,,
34,CORK,Corcaigh,CORK,,By,Bar,N,,49006,CARBERY EAST (West Division),,,,118035,56641,518003,556707,,,,,
35,CORK,Corcaigh,CORK,,By,Bar,Y,,49007,CARBERY WEST (East Division),,,,104233,30541,504203,530612,2,872,FJF,1168819200000,
36,CORK,Corcaigh,CORK,,By,Bar,N,,49008,CARBERY WEST (West Division),Cairbrigh Thiar (an Roinn Thoir),,,95128,36485,495100,536555,,,Fiontar,,
37,CORK,Corcaigh,CORK,,By,Bar,N,,49009,CONDONS and CLANGIBBON,Condúnaigh agus Clann Ghiobúin,,,173038,112478,572994,612531,,,Fiontar,,
38,CORK,Corcaigh,CORK,,By,Bar,N,,49010,CORK,Corcaigh,,,165608,77041,565566,577102,,,Fiontar,,
39,CORK,Corcaigh,CORK,,By,Bar,N,,49011,COURCEYS,Cúrsaigh,,,158307,45571,558266,545639,,,Fiontar,,
40,CORK,Corcaigh,CORK,,By,Bar,N,,49012,DUHALLOW,Dúiche Ealla,,,131747,104525,531712,604580,,,Fiontar,,
41,CORK,Corcaigh,CORK,,By,Bar,N,,49013,FERMOY,Mainistir Fhear Maí,,,164483,104036,564441,604091,,,Fiontar,,
42,CORK,Corcaigh,CORK,,By,Bar,N,,49014,IBANE and BARRYROE,Uí Bhána agus Barraigh Rua,,,135185,38062,535149,538132,,,Fiontar,,
43,CORK,Corcaigh,CORK,,By,Bar,N,,49015,IBANE and BARRYROE,Uí Bhána agus Barraigh Rua,,,146426,40802,546388,540871,,,Fiontar,,"ID changed from 49014, needs further investigation"
44,CORK,Corcaigh,CORK,,By,Bar,N,,49016,IMOKILLY,Uí Mhic Coille,,,200395,73995,600345,574057,,,Fiontar,,
45,CORK,Corcaigh,CORK,,By,Bar,N,,49017,KERRYCURRIHY,Ciarraí Cuirche,,,164293,63226,564251,563290,,,Fiontar,,
46,CORK,Corcaigh,CORK,,By,Bar,N,,49018,KINALEA,Cineál Aodha,,,163224,58539,563182,558604,,,Fiontar,,
